id,statsYear,playerName,gamesPlayed,minutesPerGame,pointsPerGame,reboundsPerGame,assistsPerGame,blocksPerGame,stealsPerGame
1240,2026,Ace Bailey,46,25.8,11.5,3.7,1.6,0.5,0.8
1241,2026,Jock Landale,47,23.6,11.5,6.4,1.7,0.6,0.5
1242,2026,Julian Champagnie,52,28.3,11.4,6.0,1.4,0.4,0.8
1243,2026,Dyson Daniels,52,33.8,11.4,6.5,6.2,0.4,1.9
1244,2026,Donovan Clingan,49,27.5,11.4,11.5,2.0,1.3,0.5
1245,2026,Sandro Mamukelashvili,51,22.7,11.4,5.1,2.0,0.6,0.8
1246,2026,Moses Moody,51,24.9,11.4,3.3,1.4,0.6,0.9
1247,2026,Caleb Love,44,22.4,11.3,2.6,2.7,0.1,0.6
1248,2026,Kel'el Ware,49,22.3,11.1,9.1,0.6,1.0,0.8
1249,2026,Jusuf Nurkic,39,26.5,11.0,10.3,4.9,0.5,1.3
1250,2026,Aaron Wiggins,38,24.1,10.9,3.4,1.8,0.6,1.0
1251,2026,Zaccharie Risacher,40,24.4,10.9,3.5,1.4,0.6,0.9
1252,2026,Rudy Gobert,51,31.4,10.7,11.4,1.7,1.7,0.8
1253,2026,Egor Demin,45,24.8,10.7,3.1,3.3,0.3,0.8
1254,2026,Dylan Harper,41,21.4,10.7,3.3,3.5,0.4,0.9
1255,2026,Harrison Barnes,52,28.0,10.6,2.9,2.1,0.2,0.6
1256,2026,Kevin Huerter,46,22.8,10.6,3.7,2.6,0.6,0.8
1257,2026,AJ Green,46,30.0,10.5,2.6,2.0,0.1,0.5
1258,2026,Ausar Thompson,47,25.8,10.4,6.0,2.7,0.9,1.9
1259,2026,Royce O'Neale,53,29.6,10.3,4.9,2.9,0.3,1.2
1260,2026,Marvin Bagley III,39,19.4,10.3,5.8,1.5,0.8,0.5
1261,2026,Pelle Larsson,45,23.9,10.2,3.3,3.3,0.2,0.6
1262,2026,Jarace Walker,52,23.8,10.2,4.4,2.0,0.3,0.8
1263,2026,Isaiah Collier,45,25.1,10.2,2.6,7.2,0.3,0.9
1264,2026,Jalen Smith,43,20.2,10.2,6.9,1.3,0.8,0.4
1265,2026,Isaiah Stewart,47,23.5,10.1,5.3,1.2,1.7,0.3
1266,2026,Bub Carrington,51,28.1,10.1,3.6,4.6,0.2,0.6
1267,2026,Isaiah Joe,44,20.9,10.0,2.5,1.4,0.2,0.6
1268,2026,Neemias Queta,49,25.3,9.9,8.4,1.5,1.3,0.9
1269,2026,Maxime Raynaud,46,23.1,9.7,6.4,1.0,0.5,0.5
1270,2026,Marcus Smart,42,28.5,9.6,3.0,2.8,0.4,1.2
1271,2026,Kyle Filipowski,52,22.2,9.6,6.6,2.0,0.4,0.7
1272,2026,T.J. McConnell,38,17.1,9.5,2.2,4.8,0.2,1.2
1273,2026,Ziaire Williams,36,22.8,9.4,2.5,0.8,0.5,1.1
1274,2026,Jordan Clarkson,48,19.4,9.4,1.8,1.4,0.1,0.4
